quants      kappa      lambda      nu      beta      model
masterFace      1.0      2.0      1.0      1.0    ms_mvit_1-1_scut
masterFace      1.0      2.0      1.0      1.5    ms_mvit_1-1_scut
masterFace      1.0      2.0      1.0      2.0    ms_mvit_1-1_scut
masterFace      1.0      2.0      1.0      3.0    ms_mvit_1-1_scut
masterFace      1.0      2.0      1.0      4.0    ms_mvit_1-1_scut


swipeQuality      0.01      2.0      1.0      0.75    ms_mvit_1pt5-pt05_scut
swipeQuality      0.05      2.0      1.0      0.75    ms_mvit_1pt5-pt05_scut
swipeQuality      0.1      2.0      1.0      0.75    ms_mvit_1pt5-pt05_scut
swipeQuality      0.25      2.0      1.0      0.75    ms_mvit_1pt5-pt05_scut
swipeQuality      0.5      2.0      1.0      0.75    ms_mvit_1pt5-pt05_scut
swipeQuality      0.75      2.0      1.0      0.75    ms_mvit_1pt5-pt05_scut
swipeQuality      1.0      2.0      1.0      0.75    ms_mvit_1pt5-pt05_scut
swipeQuality      1.5      2.0      1.0      0.75    ms_mvit_1pt5-pt05_scut
swipeQuality      2.0      2.0      1.0      0.75    ms_mvit_1pt5-pt05_scut
swipeQuality      3.0      2.0      1.0      0.75    ms_vivit_1pt5-pt05_scut
swipeQuality      4.0      2.0      1.0      0.75    ms_vivit_1pt5-pt05_scut

swipeQuality      1.0      0.01      1.0      0.75    ms_mvit_1pt5-pt05_scut
swipeQuality      1.0      0.05      1.0      0.75    ms_mvit_1pt5-pt05_scut
swipeQuality      1.0      0.1      1.0      0.75    ms_mvit_1pt5-pt05_scut
swipeQuality      1.0      0.25      1.0      0.75    ms_mvit_1pt5-pt05_scut
swipeQuality      1.0      0.5      1.0      0.75    ms_mvit_1pt5-pt05_scut
swipeQuality      1.0      0.75      1.0      0.75    ms_mvit_1pt5-pt05_scut
swipeQuality      1.0      1.0      1.0      0.75    ms_mvit_1pt5-pt05_scut
swipeQuality      1.0      1.5      1.0      0.75    ms_mvit_1pt5-pt05_scut
swipeQuality      1.0      2.0      1.0      0.75    ms_mvit_1pt5-pt05_scut
swipeQuality      1.0      3.0      1.0      0.75    ms_mvit_1pt5-pt05_scut
swipeQuality      1.0      4.0      1.0      0.75    DGBQA_CGID_Res3D-ViViT_1-1pt5_SCUT

swipeQuality      1.0      2.0      0.01      0.75    ms_mvit_1pt5-pt05_scut
swipeQuality      1.0      2.0      0.05      0.75    ms_mvit_1pt5-pt05_scut
swipeQuality      1.0      2.0      0.1      0.75    ms_mvit_1pt5-pt05_scut
swipeQuality      1.0      2.0      0.25      0.75    ms_mvit_1pt5-pt05_scut
swipeQuality      1.0      2.0      0.5      0.75    ms_mvit_1pt5-pt05_scut
swipeQuality      1.0      2.0      0.75      0.75    ms_mvit_1pt5-pt05_scut
swipeQuality      1.0      2.0      1.0      0.75    ms_mvit_1pt5-pt05_scut
swipeQuality      1.0      2.0      1.5      0.75    ms_mvit_1pt5-pt05_scut
swipeQuality      1.0      2.0      2.0      0.75    ms_mvit_1pt5-pt05_scut
swipeQuality      1.0      2.0      3.0      0.75    ms_mvit_1pt5-pt05_scut
swipeQuality      1.0      2.0      4.0      0.75    ms_mvit_1pt5-pt05_scut

swipeQuality      1.0      2.0      1.0      0.01    ms_vivit_1pt5-pt05_scut
swipeQuality      1.0      2.0      1.0      0.05    ms_vivit_1pt5-pt05_scut
swipeQuality      1.0      2.0      1.0      0.1    ms_vivit_1pt5-pt05_scut
swipeQuality      1.0      2.0      1.0      0.25    ms_vivit_1pt5-pt05_scut
swipeQuality      1.0      2.0      1.0      0.5    ms_mvit_1pt5-pt05_scut
swipeQuality      1.0      2.0      1.0      0.75    ms_mvit_1pt5-pt05_scut
swipeQuality      1.0      2.0      1.0      1.0    ms_mvit_1pt5-pt05_scut
swipeQuality      1.0      2.0      1.0      1.5    ms_mvit_1pt5-pt05_scut
swipeQuality      1.0      2.0      1.0      2.0    ms_mvit_1pt5-pt05_scut
swipeQuality      1.0      2.0      1.0      3.0    ms_mvit_1pt5-pt05_scut
