Quantifier             Metric             selectedModel                                  nAr*             r             R             Psi             Cd
masterFace           GRE           DGBQA_CGID_Res3D-ViViT_pt5-1pt5_Tiny           0.3199           1.0909           8.2919           2.8731           0.4881
genCapacity           GRE           MS_TAM_1-1pt5_Tiny           0.1973           1.0909           7.2056           3.9245           0.5703
swipeQuality           GRE           MS_TAM_1-2pt5_Tiny           0.1373           2.9091           7.1167           2.9727           0.5556

dgbqa           infAp           MS_MF_1-1pt5_Tiny           0.301           1.4545           8.2872           2.2759           0.4836
deltaDistance           infAp           DGBQA_CGID_Res3D-ViViT_pt5-2pt5_Tiny           0.1389           2.0           7.9444           2.9874           0.4692
masterFace           infAp           DGBQA_CGID_Res3D-ViViT_pt5-1_Tiny           0.2547           1.0909           8.1552           3.3549           0.502
genCapacity           infAp           MS_TAM_1-1pt5_Tiny           0.1973           1.0909           7.2056           3.9245           0.5703
swipeQuality           infAp           MS_TAM_1-2pt5_Tiny           0.1373           2.9091           7.1167           2.9727           0.5556

dgbqa           NegRel           DGBQA_CGID_Res3D-ViViT_pt5-1_Tiny           0.2451           1.4545           8.4478           2.2668           0.502
deltaDistance           NegRel           MS_MF_1-1pt5_Tiny           0.0471           3.6364           6.0455           5.2918           0.4836
masterFace           NegRel           MS_TAM_1-1_Tiny           0.1695           2.0           7.4957           3.8971           0.6514
genCapacity           NegRel           MS_MF_1-1pt5_Tiny           0.1397           2.3636           6.9926           4.5885           0.4836
swipeQuality           NegRel           MS_TAM_1-2pt5_Tiny           0.1373           2.9091           7.1167           2.9727           0.5556

dgbqa           RPP           DGBQA_CGID_Res3D-ViViT_pt5-2pt5_Tiny           0.2643           1.2727           8.3498           2.5903           0.4692
deltaDistance           RPP           DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny           0.2383           1.6364           8.0789           3.4827           0.5408
masterFace           RPP           DGBQA_CGID_Res3D-ViViT_pt5-1pt5_Tiny           0.3199           1.0909           8.2919           2.8731           0.4881
genCapacity           RPP           MS_MF_1-1pt5_Tiny           0.1397           2.3636           6.9926           4.5885           0.4836
swipeQuality           RPP           MS_TAM_1-2pt5_Tiny           0.1373           2.9091           7.1167           2.9727           0.5556

dgbqa           relEnt           DGBQA_CGID_Res3D-ViViT_pt5-2pt5_Tiny           0.2643           1.2727           8.3498           2.5903           0.4692
deltaDistance           relEnt           DGBQA_CGID_Res3D-ViViT_pt5-2pt5_Tiny           0.1389           2.0           7.9444           2.9874           0.4692
masterFace           relEnt           DGBQA_CGID_Res3D-ViViT_pt5-1pt5_Tiny           0.3199           1.0909           8.2919           2.8731           0.4881
genCapacity           relEnt           DGBQA_CGID_Res3D-ViViT_pt5-1pt5_Tiny           0.1923           1.6364           7.4435           4.3702           0.4881
swipeQuality           relEnt           MS_TAM_1-2pt5_Tiny           0.1373           2.9091           7.1167           2.9727           0.5556
