Quantifier             Metric             selectedModel                                             nAr*             r             R             Psi             Cd
genCapacity           U           ms_skateformer_1-2-1-multiStepmin3_ntu120.npz           0.4358           0.5           4.0025           2.8655           0.2015
swipeQuality           U           ms_hcn_1-pt5-pt01-multiStepmin3_ntu120.npz           0.6372           0.5           4.0045           1.6506           0.1037
dgbqa           GRE           ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.3618           0.5           3.668           3.3698           0.1831
deltaDistance           GRE           ms_skateformer_1-pt5-1-multiStepmin3_ntu120.npz           0.3324           0.5           3.4309           3.9748           0.1658
masterFace           GRE           ms_hcn_1-pt5-pt01-multiStepmin3_ntu120.npz           0.187           1.5           2.5           3.7025           0.1037
genCapacity           GRE           ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.6853           0.0           3.8575           2.9411           0.1831
swipeQuality           GRE           ms_hcn_1-pt5-pt01-multiStepmin3_ntu120.npz           0.6372           0.5           4.0045           1.6506           0.1037
dgbqa           infAp           ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.3618           0.5           3.668           3.3698           0.1831
deltaDistance           infAp           ms_hcn_1-2-pt05-multiStepmin3_ntu120.npz           0.3107           0.5           3.1627           4.1824           0.2585
masterFace           infAp           ms_hcn_1-pt5-pt01-multiStepmin3_ntu120.npz           0.187           1.5           2.5           3.7025           0.1037
genCapacity           infAp           ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.6853           0.0           3.8575           2.9411           0.1831
swipeQuality           infAp           ms_hcn_1-pt5-pt01-multiStepmin3_ntu120.npz           0.6372           0.5           4.0045           1.6506           0.1037
dgbqa           NegRel           ms_hcn_1-pt5-1pt5-multiStepmin3_ntu120.npz           0.1999           1.5           1.7681           2.686           0.0918
deltaDistance           NegRel           ms_hcn_1-pt5-1-multiStepmin3_ntu120.npz           0.0495           2.0           0.9719           3.1642           0.1262
masterFace           NegRel           ms_hcn_1-pt5-pt01-multiStepmin3_ntu120.npz           0.187           1.5           2.5           3.7025           0.1037
genCapacity           NegRel           ms_hcn_1-pt5-1pt5-multiStepmin3_ntu120.npz           0.05           2.0           1.2328           2.3731           0.0918
swipeQuality           NegRel           ms_hcn_1-pt5-pt5-multiStepmin3_ntu120.npz           0.5148           1.0           3.764           3.1801           0.0773
dgbqa           RPP           ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.3618           0.5           3.668           3.3698           0.1831
deltaDistance           RPP           ms_skateformer_1-1-pt5-multiStepmin3_ntu120.npz           0.3606           1.0           3.6027           3.8254           0.1624
masterFace           RPP           ms_hcn_1-pt5-pt01-multiStepmin3_ntu120.npz           0.187           1.5           2.5           3.7025           0.1037
genCapacity           RPP           ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.6853           0.0           3.8575           2.9411           0.1831
swipeQuality           RPP           ms_hcn_1-pt5-pt01-multiStepmin3_ntu120.npz           0.6372           0.5           4.0045           1.6506           0.1037
dgbqa           relEnt           ms_skateformer_1-pt5-pt5-multiStepmin3_ntu120.npz           0.1933           1.0           3.7822           3.464           0.1384
deltaDistance           relEnt           ms_skateformer_1-1-pt5-multiStepmin3_ntu120.npz           0.3606           1.0           3.6027           3.8254           0.1624
masterFace           relEnt           ms_skateformer_1-pt5-pt5-multiStepmin3_ntu120.npz           0.251           0.5           3.3661           8.9159           0.1384
genCapacity           relEnt           ms_skateformer_1-pt5-pt5-multiStepmin3_ntu120.npz           0.468           1.0           3.7989           3.1092           0.1384
swipeQuality           relEnt           ms_hcn_1-pt5-pt01-multiStepmin3_ntu120.npz           0.6372           0.5           4.0045           1.6506           0.1037
