Quantifier             Metric             selectedModel                                  nAr*             r             R             Psi             Cd
deltaDistance           infAp           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
masterFace           infAp           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.0621           1.5           2.5           3.9662           0.2834
genCapacity           infAp           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.0766           1.75           2.067           3.7481           0.2834
swipeQuality           infAp           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.0352           2.0           1.9445           3.5595           0.2834
dgbqa           NegRel           idf_vanilla_lgtranet_k3-5_1-pt5-1pt5_sensorMagn_bdb.npz           0.039           2.0           1.9784           2.993           0.1584
deltaDistance           NegRel           idf_vanilla_bdLSTM_1-2-1_sensorMagn_bdb.npz           0.0385           2.0           1.8668           2.9906           0.1399
masterFace           NegRel           idf_vanilla_bdLSTM_1-1-pt1_sensorMagn_bdb.npz           0.0084           2.0           1.2653           7.2338           0.2821
genCapacity           NegRel           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.0766           1.75           2.067           3.7481           0.2834
swipeQuality           NegRel           idf_vanilla_bdLSTM_1-pt5-1_sensorMagn_bdb.npz           0.0372           2.0           1.6393           3.0659           0.1182
dgbqa           RPP           idf_vanilla_lgtranet_k3-5_1-2-1pt5_sensorMagn_bdb.npz           0.0401           2.0           1.9335           2.512           0.1233
deltaDistance           RPP           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
masterFace           RPP           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.0621           1.5           2.5           3.9662           0.2834
genCapacity           RPP           idf_vanilla_bdLSTM_1-pt5-pt1_sensorMagn_bdb.npz           0.0373           2.0           2.0668           3.748           0.25
swipeQuality           RPP           idf_vanilla_bdLSTM_1-pt5-1pt5_sensorMagn_bdb.npz           0.0379           2.0           1.6509           3.1824           0.0967
dgbqa           relEnt           idf_vanilla_bdLSTM_1-1-1pt5_sensorMagn_bdb.npz           0.0409           2.0           1.9553           2.7218           0.0963
deltaDistance           relEnt           idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
masterFace           relEnt           idf_vanilla_lgtranet_k3-5_1-2-1pt5_sensorMagn_bdb.npz           0.0701           1.5           2.5           3.9662           0.1233
genCapacity           relEnt           idf_vanilla_bdLSTM_1-1-1pt5_sensorMagn_bdb.npz           0.0418           2.0           2.067           3.7481           0.0963
swipeQuality           relEnt           idf_vanilla_bdLSTM_1-1-1pt5_sensorMagn_bdb.npz           0.0406           2.0           1.9684           3.2188           0.0963
