Quantifier             Metric             selectedModel                            nAr*             r             R             Psi             Cd
dgbqa                   U           DGBQA_CGID_Res3D-MF_1-1pt5_SOLI             0.3295           1.0           8.5474           1.8409           0.2291
deltaDistance           U           DGBQA_CGID_Res3D-ViViT_pt5-pt5_SOLI          0.201           1.9091           7.9229           2.5216           0.2751
masterFace           U           DGBQA_CGID_Res3D-MF_pt5-pt5_SOLI               0.1726           1.7273           8.2192           1.9009           0.2576
genCapacity           U           MS_TPN_1pt5-1_SOLI                            0.1705           1.3636           8.1003           2.6355           0.3312
swipeQuality           U           MS_TPN_1-1pt5_SOLI                           0.1284           2.1818           8.2672           2.1528           0.0883

dgbqa           GRE           DGBQA_CGID_Res3D-MF_1pt5-pt5_SOLI             0.3797           0.4545           8.7146           1.5684           0.3615
deltaDistance           GRE           DGBQA_CGID_Res3D-MF_1pt5-pt5_SOLI     0.2417           1.3636           8.3735           2.3983           0.3615
masterFace           GRE           DGBQA_CGID_Res3D-MF_pt5-1_SOLI           0.3787           1.3636           7.8609           2.1854           0.2249
genCapacity           GRE           DGBQA_CGID_Res3D-MF_1pt5-1_SOLI          0.4642           0.4545           7.4302           2.5684           0.3048
swipeQuality           GRE           MS_MViT_pt5-1pt5_SOLI                   0.1354           2.0909           7.5401           3.6303           0.1154

dgbqa           infAp           DGBQA_CGID_Res3D-ViViT_1pt5-pt5_SOLI               0.4329           0.4545           8.5427           1.7006           0.3506
deltaDistance           infAp           DGBQA_CGID_Res3D-MF_1pt5-pt5_SOLI          0.2417           1.3636           8.3735           2.3983           0.3615
masterFace           infAp           MS_TPN_1pt5-pt5_SOLI                           0.1412           1.5455           6.9232           2.9606           0.3797
genCapacity           infAp           MS_TPN_1-1pt5_SOLI                            0.2146           4.1818           7.1442           3.4894           0.0883
swipeQuality           infAp           MS_MViT_pt5-1pt5_SOLI                        0.1354           2.0909           7.5401           3.6303           0.1154

dgbqa           NegRel           DGBQA_CGID_Res3D-ViViT_1-1pt5_SOLI                   0.256           1.9091           8.0189           1.9828           0.2178
deltaDistance           NegRel           DGBQA_CGID_Res3D-ViViT_pt5-pt5_SOLI          0.201           1.9091           7.9229           2.5216           0.2751
masterFace           NegRel           MS_TPN_1-pt5_SOLI                               0.0502           3.3636           5.8155           2.7116           0.2955
genCapacity           NegRel           DGBQA_CGID_Res3D-ViViT_pt5-1_SOLI             0.2416           2.2727           7.4302           2.9255           0.2292
swipeQuality           NegRel           MS_TPN_pt5-1_SOLI                            0.0679           3.9091           5.9221           4.9209           0.2287

dgbqa           RPP           MS_MViT_pt5-1_SOLI                    0.4917           0.8182           8.6974           1.638           0.1233
deltaDistance           RPP           MS_TPN_1pt5-1_SOLI          0.2183           1.9091           7.8865           2.9413           0.3312
masterFace           RPP           DGBQA_CGID_Res3D-MF_pt5-1_SOLI   0.3787           1.3636           7.8609           2.1854           0.2249
genCapacity           RPP           MS_MViT_1pt5-pt5_SOLI          0.3383           1.1818           7.4318           2.5658           0.3517
swipeQuality           RPP           MS_MViT_1-1_SOLI               0.124           4.0909           6.3725           3.4613           0.1949

dgbqa           relEnt           MS_MViT_pt5-1_SOLI                 0.4917           0.8182           8.6974           1.638           0.1233
deltaDistance           relEnt           MS_MViT_pt5-1_SOLI          0.2398           1.3636           8.2642           2.9515           0.1233
masterFace           relEnt           MS_MViT_1-1pt5_SOLI          0.1366           2.6364           7.6668           3.2761           0.1338
genCapacity           relEnt           MS_MViT_pt5-1pt5_SOLI          0.5177           1.0           7.4422           2.546           0.1154
swipeQuality           relEnt           MS_TPN_1-1pt5_SOLI          0.1284           2.1818           8.2672           2.1528           0.0883
