Quantifier             Metric             selectedModel                                  nAr*             r             R             Psi             Cd
deltaDistance           ERR           ms_hcn_1-pt5-1-multiStepmin3_ntu60.npz           0.3336           2.0           4.4698           3.301           0.1123
masterFace           ERR           ms_skateformer_1-pt5-pt05-multiStepmin3_ntu60.npz           0.1902           1.6667           4.9265           12.4357           0.2872
masterFace           ERR           ms_skateformer_1-pt5-pt05-multiStepmin3_ntu60.npz           0.1902           1.6667           4.9265           12.4357           0.2872
genCapacity           ERR           ms_hcn_1-1-pt05-multiStepmin3_ntu60.npz           0.4083           1.0           4.872           2.5088           0.3011
swipeQuality           ERR           ms_hcn_1-pt5-pt01-multiStepmin3_ntu60.npz           0.4452           0.6667           5.3846           1.9272           0.1469
dgbqa           U           ms_hcn_1-2-1pt5-multiStepmin3_ntu60.npz           0.4662           0.6667           5.445           2.2037           0.2136
deltaDistance           U           ms_hcn_1-2-1pt5-multiStepmin3_ntu60.npz           0.5467           0.3333           5.4775           2.3241           0.2136
masterFace           U           ms_skateformer_1-1-pt05-multiStepmin3_ntu60.npz           0.1506           1.3333           6.2646           10.6739           0.3091
genCapacity           U           ms_skateformer_1-2-pt05-multiStepmin3_ntu60.npz           0.3922           0.6667           5.3072           1.5407           0.3143
swipeQuality           U           ms_skateformer_1-1-pt5-multiStepmin3_ntu60.npz           0.5219           0.3333           5.4239           2.1971           0.1843
dgbqa           GRE           ms_hcn_1-2-1pt5-multiStepmin3_ntu60.npz           0.4662           0.6667           5.445           2.2037           0.2136
deltaDistance           GRE           ms_hcn_1-2-1pt5-multiStepmin3_ntu60.npz           0.5467           0.3333           5.4775           2.3241           0.2136
masterFace           GRE           ms_hcn_1-pt5-pt01-multiStepmin3_ntu60.npz           0.1015           2.5           3.5           2.5467           0.1469
genCapacity           GRE           ms_hcn_1-2-1pt5-multiStepmin3_ntu60.npz           0.6068           0.3333           4.8693           2.5072           0.2136
swipeQuality           GRE           ms_hcn_1-1pt5-pt5-multiStepmin3_ntu60.npz           0.5527           0.3333           5.4199           1.5235           0.12
dgbqa           infAp           ms_hcn_1-1-1pt5-multiStepmin3_ntu60.npz           0.425           0.6667           5.0639           2.6139           0.1396
deltaDistance           infAp           ms_hcn_1-2-1pt5-multiStepmin3_ntu60.npz           0.5467           0.3333           5.4775           2.3241           0.2136
masterFace           infAp           ms_hcn_1-pt5-pt01-multiStepmin3_ntu60.npz           0.1015           2.5           3.5           2.5467           0.1469
genCapacity           infAp           ms_hcn_1-2-1pt5-multiStepmin3_ntu60.npz           0.6068           0.3333           4.8693           2.5072           0.2136
swipeQuality           infAp           ms_skateformer_1-1-pt5-multiStepmin3_ntu60.npz           0.5219           0.3333           5.4239           2.1971           0.1843
dgbqa           NegRel           ms_hcn_1-1-pt5-multiStepmin3_ntu60.npz           0.432           1.3333           4.7697           3.6784           0.1153
deltaDistance           NegRel           ms_hcn_1-pt5-1-multiStepmin3_ntu60.npz           0.3336           2.0           4.4698           3.301           0.1123
masterFace           NegRel           ms_skateformer_1-1-pt01-multiStepmin3_ntu60.npz           0.0055           3.0           2.2369           7.9793           0.2489
genCapacity           NegRel           ms_hcn_1-1-1-multiStepmin3_ntu60.npz           0.446           1.0           4.8693           2.5072           0.1831
swipeQuality           NegRel           ms_hcn_1-pt5-pt01-multiStepmin3_ntu60.npz           0.4452           0.6667           5.3846           1.9272           0.1469
dgbqa           RPP           ms_hcn_1-2-1pt5-multiStepmin3_ntu60.npz           0.4662           0.6667           5.445           2.2037           0.2136
deltaDistance           RPP           ms_hcn_1-2-1pt5-multiStepmin3_ntu60.npz           0.5467           0.3333           5.4775           2.3241           0.2136
masterFace           RPP           ms_hcn_1-pt5-pt01-multiStepmin3_ntu60.npz           0.1015           2.5           3.5           2.5467           0.1469
genCapacity           RPP           ms_hcn_1-2-1pt5-multiStepmin3_ntu60.npz           0.6068           0.3333           4.8693           2.5072           0.2136
swipeQuality           RPP           ms_skateformer_1-1-pt5-multiStepmin3_ntu60.npz           0.5219           0.3333           5.4239           2.1971           0.1843
dgbqa           relEnt           ms_hcn_1-1-1pt5-multiStepmin3_ntu60.npz           0.425           0.6667           5.0639           2.6139           0.1396
deltaDistance           relEnt           ms_skateformer_1-pt5-pt5-multiStepmin3_ntu60.npz           0.4222           0.6667           5.3032           3.2336           0.1552
masterFace           relEnt           ms_skateformer_1-pt5-pt01-multiStepmin3_ntu60.npz           0.0057           3.0           -0.1264           7.8482           0.2179
genCapacity           relEnt           ms_hcn_1-pt5-1-multiStepmin3_ntu60.npz           0.5068           1.3333           4.8693           2.5072           0.1123
swipeQuality           relEnt           ms_hcn_1-1pt5-pt5-multiStepmin3_ntu60.npz           0.5527           0.3333           5.4199           1.5235           0.12
